state,county,num_physicians
Arkansas,Madison,3
Arkansas,Marion,2
Arkansas,Miller,32
Arkansas,Mississippi,18
Arkansas,Monroe,3
Arkansas,Montgomery,2
Arkansas,Nevada,3
Arkansas,Newton,1
Arkansas,Ouachita,12
Arkansas,Perry,1
Arkansas,Phillips,10
Arkansas,Pike,3
Arkansas,Poinsett,4
Arkansas,Polk,14
Arkansas,Pope,41
Arkansas,Prairie,1
Arkansas,Pulaski,460
Arkansas,Randolph,10
Arkansas,Saline,52
Arkansas,Scott,2
Arkansas,Searcy,2
Arkansas,Sebastian,165
Arkansas,Sevier,8
Arkansas,Sharp,5
Arkansas,St. Francis,12
Arkansas,Stone,6
Arkansas,Union,22
Arkansas,Van Buren,4
Arkansas,Washington,187
Arkansas,White,40
Arkansas,Woodruff,3
Arkansas,Yell,12
California,Alameda,1
California,Alpine,0
California,Amador,26
California,Butte,141
California,Calaveras,20
California,Colusa,7
California,Contra Costa,1
California,Del Norte,17
California,El Dorado,154
California,Fresno,664
California,Glenn,5
California,Humboldt,95
California,Imperial,43
California,Inyo,20
California,Kern,442
California,Kings,60
California,Lake,29
California,Lassen,10
California,Los Angeles,1
California,Madera,69
California,Marin,387
California,Mariposa,6
California,Mendocino,79
California,Merced,121
California,Modoc,6
California,Mono,9
California,Monterey,264
California,Napa,136
California,Nevada,70
California,Orange,1
California,Placer,477
California,Plumas,16
California,Riverside,1
California,Sacramento,1
California,San Benito,19
California,San Bernardino,1
California,San Diego,1
California,San Francisco,1
California,San Joaquin,433
California,San Luis Obispo,235
California,San Mateo,817
California,Santa Barbara,342
California,Santa Clara,1
California,Santa Cruz,276
California,Shasta,130
California,Sierra,1
California,Siskiyou,33
California,Solano,361
California,Sonoma,515
California,Stanislaus,361
California,Sutter,73
California,Tehama,30
California,Trinity,3
California,Tulare,194
California,Tuolumne,46
California,Ventura,653
California,Yolo,270
California,Yuba,19
Colorado,Adams,219
Colorado,Alamosa,13
Colorado,Arapahoe,538
Colorado,Archuleta,12
Colorado,Baca,3
Colorado,Bent,1
Colorado,Boulder,399
Colorado,Broomfield,72
Colorado,Chaffee,18
Colorado,Cheyenne,1
Colorado,Clear Creek,1
Colorado,Conejos,5
Colorado,Costilla,1
Colorado,Crowley,1
Colorado,Custer,3
Colorado,Delta,24
Colorado,Denver,933
Colorado,Dolores,1
Colorado,Douglas,235
Colorado,Eagle,42
Colorado,El Paso,419
Colorado,Elbert,4
Colorado,Fremont,22
Colorado,Garfield,52
Colorado,Gilpin,2
Colorado,Grand,12
Colorado,Gunnison,14
Colorado,Hinsdale,0
Colorado,Huerfano,7
Colorado,Jackson,2
Colorado,Jefferson,491
Colorado,Kiowa,0
Colorado,Kit Carson,4
Colorado,La Plata,63
Colorado,Lake,6
Colorado,Larimer,303
Colorado,Las Animas,10
Colorado,Lincoln,2
Colorado,Logan,16
Colorado,Mesa,168
Colorado,Mineral,1
Colorado,Moffat,5
Colorado,Montezuma,26
Colorado,Montrose,31
Colorado,Morgan,20
Colorado,Otero,12
Colorado,Ouray,6
Colorado,Park,3
Colorado,Phillips,5
Colorado,Pitkin,13
Colorado,Prowers,5
Colorado,Pueblo,107
Colorado,Rio Blanco,9
Colorado,Rio Grande,13
Colorado,Routt,31
Colorado,Saguache,1
Colorado,San Juan,1
Colorado,San Miguel,6
Colorado,Sedgwick,1
Colorado,Summit,19
Colorado,Teller,12
Colorado,Washington,1
Colorado,Weld,149
Colorado,Yuma,5
Connecticut,Fairfield,871
Connecticut,Hartford,826
Connecticut,Litchfield,114
Connecticut,Middlesex,116
Connecticut,New Haven,756
Connecticut,New London,173
Connecticut,Tolland,76
Connecticut,Windham,53
Delaware,Kent,82
Delaware,New Castle,469
Delaware,Sussex,140
Florida,Alachua,422
Florida,Baker,10
Florida,Bay,100
Florida,Bradford,8
Florida,Brevard,431
Florida,Broward,1
Florida,Calhoun,6
Florida,Charlotte,117
Florida,Citrus,75
Florida,Clay,104
Florida,Collier,279
Florida,Columbia,32
Florida,DeSoto,9
Florida,Dixie,1
Florida,Duval,807
Florida,Escambia,213
Florida,Flagler,56
Florida,Franklin,3
Florida,Gadsden,9
Florida,Gilchrist,7
Florida,Glades,1
Florida,Gulf,7
Florida,Hamilton,1
Florida,Hardee,3
Florida,Hendry,13
Florida,Hernando,106
Florida,Highlands,61
Florida,Hillsborough,1
Florida,Holmes,7
Florida,Indian River,95
Florida,Jackson,20
Florida,Jefferson,3
Florida,Lafayette,1
Florida,Lake,243
Florida,Lee,479
Florida,Leon,251
Florida,Levy,7
Florida,Liberty,1
Florida,Madison,2
Florida,Manatee,214
Florida,Marion,204
Florida,Martin,106
Florida,Miami-Dade,1
Florida,Monroe,59
Florida,Nassau,39
Florida,Okaloosa,161
Florida,Okeechobee,20
Florida,Orange,1
Florida,Osceola,144
Florida,Palm Beach,1
Florida,Pasco,308
Florida,Pinellas,856
Florida,Polk,336
Florida,Putnam,32
Florida,Santa Rosa,124
Florida,Sarasota,319
Florida,Seminole,350
Florida,St. Johns,233
Florida,St. Lucie,120
Florida,Sumter,47
Florida,Suwannee,7
Florida,Taylor,8
Florida,Union,4
Florida,Volusia,370
Florida,Wakulla,10
Florida,Walton,36
Florida,Washington,6
Georgia,Appling,7
Georgia,Atkinson,1
Georgia,Bacon,7
Georgia,Baker,1
Georgia,Baldwin,25
Georgia,Banks,4
Georgia,Barrow,17
Georgia,Bartow,44
Georgia,Ben Hill,8
Georgia,Berrien,3
Georgia,Bibb,201
Georgia,Bleckley,4
Georgia,Brantley,3
Georgia,Brooks,3
Georgia,Bryan,29
Georgia,Bulloch,42
Georgia,Burke,8
Georgia,Butts,5
Georgia,Calhoun,1
Georgia,Camden,17
Georgia,Candler,4
Georgia,Carroll,54
Georgia,Catoosa,33
Georgia,Charlton,4
Georgia,Chatham,256
Georgia,Chattahoochee,8
Georgia,Chattooga,2
Georgia,Cherokee,96
Georgia,Clarke,83
Georgia,Clay,1
Georgia,Clayton,72
Georgia,Clinch,1
Georgia,Cobb,533
Georgia,Coffee,23
Georgia,Colquitt,21
Georgia,Columbia,159
Georgia,Cook,11
Georgia,Coweta,72
Georgia,Crawford,1
Georgia,Crisp,19
Georgia,Dade,5
Georgia,Dawson,17
Georgia,Decatur,12
Georgia,DeKalb,808
Georgia,Dodge,8
Georgia,Dooly,1
Georgia,Dougherty,69
Georgia,Douglas,52
Georgia,Early,7
Georgia,Echols,1
Georgia,Effingham,15
Georgia,Elbert,10
Georgia,Emanuel,10
Georgia,Evans,3
Georgia,Fannin,11
Georgia,Fayette,124
Georgia,Floyd,121
Georgia,Forsyth,89
Georgia,Franklin,6
Georgia,Fulton,1
Georgia,Gilmer,16
Georgia,Glascock,1
Georgia,Glynn,44
Georgia,Gordon,26
Georgia,Grady,12
Georgia,Greene,9
Georgia,Gwinnett,581
Georgia,Habersham,22
Georgia,Hall,108
Georgia,Hancock,1
Georgia,Haralson,13
Georgia,Harris,12
Georgia,Hart,9
Georgia,Heard,2
Georgia,Henry,107
Georgia,Houston,82
Georgia,Irwin,3
Georgia,Jackson,36
Georgia,Jasper,5
Georgia,Jeff Davis,4
Georgia,Jefferson,5
Georgia,Jenkins,3
Georgia,Johnson,5
Georgia,Jones,7
Georgia,Lamar,8
Georgia,Lanier,1
Georgia,Laurens,42
Georgia,Lee,20
Georgia,Liberty,24
Georgia,Lincoln,2
Georgia,Long,1
Georgia,Lowndes,68
Georgia,Lumpkin,12
Georgia,Macon,1
Georgia,Madison,4
Georgia,Marion,1
Georgia,McDuffie,11
Georgia,McIntosh,1
Georgia,Meriwether,7
Georgia,Miller,2
Georgia,Mitchell,8
Georgia,Monroe,17
Georgia,Montgomery,1
Georgia,Morgan,10
Georgia,Murray,7
Georgia,Muscogee,198
Georgia,Newton,30
Georgia,Oconee,53
Georgia,Oglethorpe,1
Georgia,Paulding,25
Georgia,Peach,7
Georgia,Pickens,13
Georgia,Pierce,5
Georgia,Pike,4
Georgia,Polk,12
Georgia,Pulaski,8
Georgia,Putnam,8
Georgia,Quitman,1
Georgia,Rabun,10
Georgia,Randolph,2
Georgia,Richmond,198
Georgia,Rockdale,66
Georgia,Schley,1
Georgia,Screven,2
Georgia,Seminole,10
Georgia,Spalding,30
Georgia,Stephens,17
Georgia,Stewart,2
Georgia,Sumter,20
Georgia,Talbot,2
Georgia,Taliaferro,0
Georgia,Tattnall,7
Georgia,Taylor,1
Georgia,Telfair,4
Georgia,Terrell,1
Georgia,Thomas,43
Georgia,Tift,35
Georgia,Toombs,27
Georgia,Towns,11
Georgia,Treutlen,1
Georgia,Troup,37
Georgia,Turner,1
Georgia,Twiggs,1
Georgia,Union,19
Georgia,Upson,14
Georgia,Walker,12
Georgia,Walton,24
Georgia,Ware,26
Georgia,Warren,3
Georgia,Washington,13
Georgia,Wayne,12
Georgia,Webster,1
Georgia,Wheeler,1
Georgia,White,7
Georgia,Whitfield,56
Georgia,Wilcox,1
Georgia,Wilkes,4
Georgia,Wilkinson,3
Georgia,Worth,6
Hawaii,Hawaii,158
Hawaii,Honolulu,894
Hawaii,Kalawao,0
Hawaii,Kauai,52
Hawaii,Maui,146
Idaho,Ada,428
Idaho,Adams,1
Idaho,Bannock,64
Idaho,Bear Lake,5
Idaho,Benewah,7
Idaho,Bingham,15
Idaho,Blaine,23
Idaho,Boise,2
Idaho,Bonner,26
Idaho,Bonneville,45
Idaho,Boundary,5
Idaho,Butte,1
Idaho,Camas,0
Idaho,Canyon,76
Idaho,Caribou,3
Idaho,Cassia,19
Idaho,Clark,0
Idaho,Clearwater,10
Idaho,Custer,1
Idaho,Elmore,18
Idaho,Franklin,5
Idaho,Fremont,3
Idaho,Gem,10
Idaho,Gooding,5
Idaho,Idaho,10
Idaho,Jefferson,7
Idaho,Jerome,9
Idaho,Kootenai,123
Idaho,Latah,37
Idaho,Lemhi,5
Idaho,Lewis,2
Idaho,Lincoln,1
Idaho,Madison,25
Idaho,Minidoka,6
Idaho,Nez Perce,30
Idaho,Oneida,2
Idaho,Owyhee,1
Idaho,Payette,10
Idaho,Power,2
Idaho,Shoshone,6
Idaho,Teton,5
Idaho,Twin Falls,59
Idaho,Valley^,16
Idaho,Washington,5
Illinois,Adams,59
Illinois,Alexander,1
Illinois,Bond,12
Illinois,Boone,30
Illinois,Brown,1
Illinois,Bureau,16
Illinois,Calhoun,2
Illinois,Carroll,5
Illinois,Cass,1
Illinois,Champaign,199
Illinois,Christian,13
Illinois,Clark,7
Illinois,Clay,2
Illinois,Clinton,13
Illinois,Coles,39
Illinois,Cook,1
Illinois,Crawford,11
Illinois,Cumberland,1
Illinois,De Witt,6
Illinois,DeKalb,32
Illinois,Douglas,6
Illinois,DuPage,1
Illinois,Edgar,6
Illinois,Edwards,1
Illinois,Effingham,28
Illinois,Fayette,3
Illinois,Ford,10
Illinois,Franklin,13
Illinois,Fulton,11
Illinois,Gallatin,1
Illinois,Greene,3
Illinois,Grundy,16
Illinois,Hamilton,4
Illinois,Hancock,4
Illinois,Hardin,4
Illinois,Henderson,1
Illinois,Henry,11
Illinois,Iroquois,10
Illinois,Jackson,76
Illinois,Jasper,1
Illinois,Jefferson,24
Illinois,Jersey,9
Illinois,Jo Daviess,10
Illinois,Johnson,1
Illinois,Kane,218
Illinois,Kankakee,44
Illinois,Kendall,47
Illinois,Knox,29
Illinois,Lake,783
Illinois,LaSalle,40
Illinois,Lawrence,4
Illinois,Lee,24
Illinois,Livingston,17
Illinois,Logan,8
Illinois,Macon,88
Illinois,Macoupin,11
Illinois,Madison,121
Illinois,Marion,14
Illinois,Marshall,1
Illinois,Mason,3
Illinois,Massac,3
Illinois,McDonough,15
Illinois,McHenry,158
Illinois,McLean,98
Illinois,Menard,5
Illinois,Mercer,3
Illinois,Monroe,12
Illinois,Montgomery,18
Illinois,Morgan,14
Illinois,Moultrie,4
Illinois,Ogle,33
Illinois,Peoria,224
Illinois,Perry,11
Illinois,Piatt,8
Illinois,Pike,8
Illinois,Pope,1
Illinois,Pulaski,1
Illinois,Putnam,1
Illinois,Randolph,14
Illinois,Richland,8
Illinois,Rock Island,75
Illinois,Saline,15
Illinois,Sangamon,236
Illinois,Schuyler,2
Illinois,Scott,1
Illinois,Shelby,6
Illinois,St. Clair,156
Illinois,Stark,1
Illinois,Stephenson,19
Illinois,Tazewell,62
Illinois,Union,12
Illinois,Vermilion,34
Illinois,Wabash,5
Illinois,Warren,7
Illinois,Washington,3
Illinois,Wayne,7
Illinois,White,4
Illinois,Whiteside,33
Illinois,Will,379
Illinois,Williamson,57
Illinois,Winnebago,202
Illinois,Woodford,20
Indiana,Adams,13
Indiana,Allen,251
Indiana,Bartholomew,58
Indiana,Benton,1
Indiana,Blackford,7
Indiana,Boone,136
Indiana,Brown,5
Indiana,Carroll,3
Indiana,Cass,16
Indiana,Clark,50
Indiana,Clay,11
Indiana,Clinton,6
Indiana,Crawford,1
Indiana,Daviess,16
Indiana,Dearborn,22
Indiana,Decatur,15
Indiana,DeKalb,21
Indiana,Delaware,115
Indiana,Dubois,36
Indiana,Elkhart,107
Indiana,Fayette,13
Indiana,Floyd,53
Indiana,Fountain,3
Indiana,Franklin,19
Indiana,Fulton,10
Indiana,Gibson,11
Indiana,Grant,30
Indiana,Greene,8
Indiana,Hamilton,462
Indiana,Hancock,63
Indiana,Harrison,18
Indiana,Hendricks,82
Indiana,Henry,19
Indiana,Howard,52
Indiana,Huntington,21
Indiana,Jackson,25
Indiana,Jasper,8
Indiana,Jay,9
Indiana,Jefferson,18
Indiana,Jennings,11
Indiana,Johnson,121
Indiana,Knox,31
Indiana,Kosciusko,29
Indiana,LaGrange,10
Indiana,Lake,261
Indiana,LaPorte,39
Indiana,Lawrence,18
Indiana,Madison,64
Indiana,Marion,758
Indiana,Marshall,20
Indiana,Martin,2
Indiana,Miami,7
Indiana,Monroe,86
Indiana,Montgomery,15
Indiana,Morgan,32
Indiana,Newton,1
Indiana,Noble,13
Indiana,Ohio,1
Indiana,Orange,11
Indiana,Owen,2
Indiana,Parke,4
Indiana,Perry,10
Indiana,Pike,1
Indiana,Porter,105
Indiana,Posey,9
Indiana,Pulaski,5
Indiana,Putnam,13
Indiana,Randolph,5
Indiana,Ripley,1
Indiana,Rush,6
Indiana,Scott,10
Indiana,Shelby,14
Indiana,Spencer,8
Indiana,St. Joseph,246
Indiana,Starke,5
Indiana,Steuben,11
Indiana,Sullivan,10
Indiana,Switzerland,1
Indiana,Tippecanoe,133
Indiana,Tipton,5
Indiana,Union,1
Indiana,Vanderburgh,154
Indiana,Vermillion,6
Indiana,Vigo,98
Indiana,Wabash,14
Indiana,Warren,1
Indiana,Warrick,100
Indiana,Washington,7
Indiana,Wayne,43
Indiana,Wells,18
Indiana,White,8
Indiana,Whitley,19
Iowa,Adair,3
Iowa,Adams,1
Iowa,Allamakee,8
Iowa,Appanoose,11
Iowa,Audubon,4
Iowa,Benton,4
Iowa,Black Hawk,126
Iowa,Boone,13
Iowa,Bremer,13
Iowa,Buchanan,6
Iowa,Buena Vista,9
Iowa,Butler,2
Iowa,Calhoun,7
Iowa,Carroll,19
Iowa,Cass,7
Iowa,Cedar,5
Iowa,Cerro Gordo,66
Iowa,Cherokee,7
Iowa,Chickasaw,7
Iowa,Clarke,3
Iowa,Clay,13
Iowa,Clayton,6
Iowa,Clinton,24
Iowa,Crawford,4
Iowa,Dallas,40
Iowa,Davis,4
Iowa,Decatur,2
Iowa,Delaware,10
Iowa,Des Moines,27
Iowa,Dickinson,13
Iowa,Dubuque,77
Iowa,Emmet,6
Iowa,Fayette,7
Iowa,Floyd,6
Iowa,Franklin,3
Iowa,Fremont,1
Iowa,Greene,4
Iowa,Grundy,3
Iowa,Guthrie,4
Iowa,Hamilton,5
Iowa,Hancock,3
Iowa,Hardin,8
Iowa,Harrison,5
Iowa,Henry,15
Iowa,Howard,5
Iowa,Humboldt,2
Iowa,Ida,2
Iowa,Iowa,11
Iowa,Jackson,7
Iowa,Jasper,15
Iowa,Jefferson,14
Iowa,Johnson,271
Iowa,Jones,9
Iowa,Keokuk,1
Iowa,Kossuth,8
Iowa,Lee,20
Iowa,Linn,135
Iowa,Louisa,1
Iowa,Lucas,6
Iowa,Lyon,4
Iowa,Madison,9
Iowa,Mahaska,13
Iowa,Marion,32
Iowa,Marshall,21
Iowa,Mills,9
Iowa,Mitchell,3
Iowa,Monona,7
Iowa,Monroe,4
Iowa,Montgomery,6
Iowa,Muscatine,20
Iowa,O'Brien,9
Iowa,Osceola,2
Iowa,Page,9
Iowa,Palo Alto,3
Iowa,Plymouth,11
Iowa,Pocahontas,2
Iowa,Polk,477
Iowa,Pottawattamie,43
Iowa,Poweshiek,17
Iowa,Ringgold,6
Iowa,Sac,6
Iowa,Scott,151
Iowa,Shelby,6
Iowa,Sioux,28
Iowa,Story,66
Iowa,Tama,4
Iowa,Taylor,1
Iowa,Union,10
Iowa,Van Buren,7
Iowa,Wapello,20
Iowa,Warren,29
Iowa,Washington,15
Iowa,Wayne,4
Iowa,Webster,19
Iowa,Winnebago,5
Iowa,Winneshiek,22
Iowa,Woodbury,68
Iowa,Worth,2
Iowa,Wright,5
Kansas,Allen,8
Kansas,Anderson,3
Kansas,Atchison,9
Kansas,Barber,2
Kansas,Barton,14
Kansas,Bourbon,8
Kansas,Brown,10
Kansas,Butler,42
Kansas,Chase,1
Kansas,Chautauqua,1
Kansas,Cherokee,5
Kansas,Cheyenne,1
Kansas,Clark^,4
Kansas,Clay,10
Kansas,Cloud,4
Kansas,Coffey,7
Kansas,Comanche,2
Kansas,Cowley,18
Kansas,Crawford,32
Kansas,Decatur,1
Kansas,Dickinson,7
Kansas,Doniphan,3
Kansas,Douglas,105
Kansas,Edwards,1
Kansas,Elk,1
Kansas,Ellis,19
Kansas,Ellsworth,4
Kansas,Finney,23
Kansas,Ford,14
Kansas,Franklin,11
Kansas,Geary,12
Kansas,Gove,4
Kansas,Graham,1
Kansas,Grant,4
Kansas,Gray,1
Kansas,Greeley,1
Kansas,Greenwood,3
Kansas,Hamilton,1
Kansas,Harper,3
Kansas,Harvey,29
Kansas,Haskell,1
Kansas,Hodgeman^,3
Kansas,Jackson,9
Kansas,Jefferson,9
Kansas,Jewell,1
Kansas,Johnson,725
Kansas,Kearny,3
Kansas,Kingman,1
Kansas,Kiowa,1
Kansas,Labette,14
Kansas,Lane,1
Kansas,Leavenworth,36
Kansas,Lincoln,1
Kansas,Linn,2
Kansas,Logan,2
Kansas,Lyon,21
Kansas,Marion,4
Kansas,Marshall,5
Kansas,McPherson,21
Kansas,Meade,1
Kansas,Miami,16
Kansas,Mitchell,6
Kansas,Montgomery,11
Kansas,Morris,3
Kansas,Morton,3
Kansas,Nemaha,10
Kansas,Neosho,10
Kansas,Ness,2
Kansas,Norton,3
Kansas,Osage,1
Kansas,Osborne,2
Kansas,Ottawa,2
Kansas,Pawnee,7
Kansas,Phillips,2
Kansas,Pottawatomie,16
Kansas,Pratt,8
Kansas,Rawlins,1
Kansas,Reno,39
Kansas,Republic,4
Kansas,Rice,4
Kansas,Riley,51
Kansas,Rooks,6
Kansas,Rush,1
Kansas,Russell,4
Kansas,Saline,49
Kansas,Scott,5
Kansas,Sedgwick,446
Kansas,Seward,12
Kansas,Shawnee,130
Kansas,Sheridan,1
Kansas,Sherman,2
Kansas,Smith^,6
Kansas,Stafford,1
Kansas,Stanton,1
Kansas,Stevens,2
Kansas,Sumner,8
Kansas,Thomas,5
Kansas,Trego,1
Kansas,Wabaunsee,2
Kansas,Wallace,0
Kansas,Washington,3
Kansas,Wichita,1
Kansas,Wilson,6
Kansas,Woodson,1
Kansas,Wyandotte,72
Kentucky,Adair,7
Kentucky,Allen,3
Kentucky,Anderson,6
Kentucky,Ballard,1
Kentucky,Barren,38
Kentucky,Bath,1
Kentucky,Bell,12
Kentucky,Boone,83
Kentucky,Bourbon,15
Kentucky,Boyd,44
Kentucky,Boyle,24
Kentucky,Bracken,2
Kentucky,Breathitt,8
Kentucky,Breckinridge,5
Kentucky,Bullitt,15
Kentucky,Butler,1
Kentucky,Caldwell,7
Kentucky,Calloway,19
Kentucky,Campbell,63
Kentucky,Carlisle,2
Kentucky,Carroll,4
Kentucky,Carter,6
Kentucky,Casey,1
Kentucky,Christian,45
Kentucky,Clark,19
Kentucky,Clay,8
Kentucky,Clinton,4
Kentucky,Crittenden,4
Kentucky,Cumberland,3
Kentucky,Daviess,53
Kentucky,Edmonson,1
Kentucky,Elliott,1
Kentucky,Estill,4
Kentucky,Fayette,399
Kentucky,Fleming,7
Kentucky,Floyd,22
Kentucky,Franklin,18
Kentucky,Fulton,2
Kentucky,Gallatin,4
Kentucky,Garrard,5
Kentucky,Grant,12
Kentucky,Graves,12
Kentucky,Grayson,16
Kentucky,Green,2
Kentucky,Greenup,23
Kentucky,Hancock,1
Kentucky,Hardin,68
Kentucky,Harlan,8
Kentucky,Harrison,8
Kentucky,Hart,7
Kentucky,Henderson,25
Kentucky,Henry,8
Kentucky,Hickman,1
Kentucky,Hopkins,54
Kentucky,Jackson,3
Kentucky,Jefferson,729
Kentucky,Jessamine,39
Kentucky,Johnson,17
Kentucky,Kenton,137
Kentucky,Knott,5
Kentucky,Knox,7
Kentucky,Larue,1
Kentucky,Laurel,25
Kentucky,Lawrence,6
Kentucky,Lee,2
Kentucky,Leslie,2
Kentucky,Letcher,14
Kentucky,Lewis,3
Kentucky,Lincoln,8
Kentucky,Livingston,3
Kentucky,Logan,8
Kentucky,Lyon,3
Kentucky,Madison,50
Kentucky,Magoffin,4
Kentucky,Marion,9
Kentucky,Marshall,13
Kentucky,Martin,4
Kentucky,Mason,12
Kentucky,McCracken,62
Kentucky,McCreary,4
Kentucky,McLean,1
Kentucky,Meade,6
Kentucky,Menifee,3
Kentucky,Mercer,5
Kentucky,Metcalfe,2
Kentucky,Monroe,5
Kentucky,Montgomery,14
Kentucky,Morgan,3
Kentucky,Muhlenberg,14
Kentucky,Nelson,21
Kentucky,Nicholas,1
Kentucky,Ohio,7
Kentucky,Oldham,40
Kentucky,Owen,4
Kentucky,Owsley,1
Kentucky,Pendleton,3
Kentucky,Perry,34
Kentucky,Pike,52
Kentucky,Powell,1
Kentucky,Pulaski,49
Kentucky,Robertson,1
Kentucky,Rockcastle,7
Kentucky,Rowan,19
Kentucky,Russell,6
Kentucky,Scott,31
Kentucky,Shelby,18
Kentucky,Simpson,7
Kentucky,Spencer,8
Kentucky,Taylor,17
Kentucky,Todd,2
Kentucky,Trigg,3
Kentucky,Trimble,2
Kentucky,Union,3
Kentucky,Warren,91
Kentucky,Washington,4
Kentucky,Wayne,13
Kentucky,Webster,3
Kentucky,Whitley,28
Kentucky,Wolfe,1
Kentucky,Woodford,18
Louisiana,Acadia,23
Louisiana,Allen,5
Louisiana,Ascension,49
Louisiana,Assumption,3
Louisiana,Avoyelles,11
Louisiana,Beauregard,15
Louisiana,Bienville,2
Louisiana,Bossier,55
Louisiana,Caddo,282
Louisiana,Calcasieu,155
Louisiana,Caldwell,3
Louisiana,Cameron,2
Louisiana,Catahoula,1
Louisiana,Claiborne,6
Louisiana,Concordia,6
Louisiana,De Soto,5
Louisiana,East Baton Rouge,415
Louisiana,East Carroll,3
Louisiana,East Feliciana,6
Louisiana,Evangeline,21
Louisiana,Franklin,7
Louisiana,Grant,2
Louisiana,Iberia,34
Louisiana,Iberville,11
Louisiana,Jackson,3
Louisiana,Jefferson,399
Louisiana,Jefferson Davis,14
Louisiana,La Salle,9
Louisiana,Lafayette,257
Louisiana,Lafourche,46
Louisiana,Lincoln,31
Louisiana,Livingston,26
Louisiana,Madison,4
Louisiana,Morehouse,9
Louisiana,Natchitoches,22
Louisiana,Orleans,373
Louisiana,Ouachita,130
Louisiana,Plaquemines,4
Louisiana,Pointe Coupee,7
Louisiana,Rapides,107
Louisiana,Red River,2
Louisiana,Richland,14
